,Item,Prediction,Actual
31,"(1004953189.0, 'RYOBI 18V ONE+ COMP. POWER SCRUBBER')",Pick Mod - Bin,Pick Mod - Carton Flow
32,"(1005745198.0, 'EXPLORER 880 OUTDOOR SOLAR POWER STA')",Pick Mod - Carton Flow,SR - Full Pallet
33,"(643092.0, '8"" TO 6""X6"" WYE')",Pick Mod - Carton Flow,Pick Mod - Bin
34,"(388332.0, 'LARGE AIRSEAL PET DOOR')",Pick Mod - Bin,Pick Mod - Carton Flow
35,"(335580.0, 'REJUVENATE CABINET/FURNITURE POLISH')",Pick Mod - Bin,Pick Mod - Carton Flow
36,"(1003021644.0, 'HALO RL 4"" SELECTABLE CCT 575LM')",Pick Mod - Bin,Pick Mod - Carton Flow
37,"(1004156724.0, '1/2 ACRE BUG ZAPPER INSECT TRAP')",Pick Mod - Bin,Pick Mod - Carton Flow
38,"(1004356513.0, 'MKE M18 FUEL 7-1/4IN RH CIRC (BT)')",Pick Mod - Carton Flow,SR - Full Pallet
39,"(1003007697.0, 'POLE SAW COUPLE SHAFT ATTACHMENT')",Pick Mod - Carton Flow,SR - Full Pallet
40,"(1003338484.0, '48 FT. OUTDOOR LED STRING LIGHTS WIT')",Pick Mod - Bin,Pick Mod - Carton Flow
41,"(1001256658.0, '#115 PLATINUM SANDED CAULK 10.5OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
42,"(1005150948.0, 'STANLEY BLACK CHROME SOCKET SET (69-')",Pick Mod - Bin,Pick Mod - Carton Flow
43,"(1004269096.0, ""LBN BLOW MOLD 48' 24 BULB CAFE LIGHT"")",Pick Mod - Bin,Pick Mod - Carton Flow
44,"(898758.0, '4""X4\' ALMOND VINYL WALLBASE 16PC-CA')",Cantilever,Oblong
45,"(1000029718.0, '5""X1/2""X36"" WOOD INTERIOR THRESHOLD')",Pick Mod - Bin,Pick Mod - Carton Flow
46,"(1005566100.0, 'HOME AND BODY HS EUC MINT 21.5OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
47,"(1005973856.0, '4 IN. EARTH AUGER BIT')",Pick Mod - Bin,SR - Full Pallet
48,"(1004618693.0, 'GENIE STEALTH 750 BELT GDO')",SR - Full Pallet,Pick Mod - Carton Flow
49,"(1001764182.0, 'MAK 18V LXT BRUSHLESS RECIPRO SAW')",Pick Mod - Bin,Pick Mod - Carton Flow
50,"(1003930974.0, 'MKE PRY BAR SET (4-PIECE)')",Pick Mod - Carton Flow,Pick Mod - Bin
51,"(766881.0, 'MECHANIC IN A BOTTLE 4 OZ.')",Pick Mod - Bin,Pick Mod - Carton Flow
52,"(1006863094.0, 'RYOBI 12"" CHAINSAW CHAIN')",Pick Mod - Bin,SR - Full Pallet
53,"(1001546348.0, 'COURANT 8 IN. WIDESPREAD 2-HANDLE BA')",Bulk Floor,Pick Mod - Bin
54,"(768816.0, ""8' FG STEP LADDER TI 250LB"")",Ladders,Bulk Floor
55,"(1002246434.0, 'SUMMIT RIDGE LED D/D MD EXT WALL LAN')",SR - Full Pallet,Pick Mod - Carton Flow
56,"(303010.0, 'LATEX-ITE 10YR ULTRA SHIELD 4.75 GAL')",Pick Mod - Pallet Flow,SR - Full Pallet
57,"(118594.0, '5/8""X50\' SWAN MEDIUM DUTY HOSE')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
58,"(935448.0, 'METHOD APC SPY GRAPEFRT 28OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
59,"(1000031637.0, 'LIME-A-WAY HARD WATER STAIN SPY 32OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
60,"(1005864756.0, 'FIRE TV STICK LITE')",Oblong,Pick Mod - Bin
61,"(1000550792.0, 'STRIPING KIT FOR WALK-BEHIND MOWERS')",Pick Mod - Carton Flow,Pick Mod - Bin
62,"(1001767317.0, 'DW 20V BL HAMMER DRL KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
63,"(510597.0, 'ABU46Z 4""X6"" 12GA UPLIFT POST BASE')",Pick Mod - Bin,Pick Mod - Carton Flow
64,"(1005234861.0, 'TIDE HE LQ ORIGINAL 69OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
65,"(1001819025.0, 'HDC JAVA HICKORY VINYL PLANK 20.34')",SR - Full Pallet,Pick Mod - Carton Flow
66,"(1002262978.0, 'CENTURY SATIN NICKEL LOWER HALF HAND')",Pick Mod - Bin,Pick Mod - Carton Flow
67,"(1003406693.0, 'PALMOLIVE DISH ORG 90OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
68,"(1000119906.0, 'SLIM 50 CFM WALL/CEILING EXHAUST FAN')",Pick Mod - Bin,Pick Mod - Carton Flow
69,"(1001297743.0, 'OCEDAR EASY WRING SPIN MOP W/BUCKET')",Pick Mod - Carton Flow,SR - Full Pallet
70,"(241758.0, '.093""X30""X36"" CLEAR ACRYLIC SHEET')",Pick Mod - Bin,SR - Full Pallet
71,"(1003599227.0, '100 SQ. FT. 3 FT. X 33.34 FT. X 1/16')",Pick Mod - Carton Flow,SR - Full Pallet
72,"(1004202766.0, 'M18 FUEL 8 IN. EDGER ATTACHMENT FOR')",SR - Full Pallet,Pick Mod - Pallet Flow
73,"(1003315088.0, '12 CAN MINI RETRO BEVERAGE COOLER IN')",SR - Full Pallet,Pick Mod - Carton Flow
74,"(296601.0, '3/4""X2-1/4"" PLANO STRIP MARSH 20SF')",Oblong,Bulk Floor
75,"(553250.0, '3/4""X2-1/4"" GUNSTOCK OAK 20SF')",Oblong,Bulk Floor
76,"(561538.0, '16""X25""X4"" FPR 8 FILTER 2PK')",SR - Full Pallet,Pick Mod - Carton Flow
77,"(1005046749.0, '4M SCOTTS TURFBUILDER ULTRA FEED')",Pick Mod - Carton Flow,SR - Full Pallet
78,"(1003897627.0, 'RECONDITIONED ONE  90 MPH 200 CFM 18')",Pick Mod - Bin,Pick Mod - Carton Flow
79,"(1004547931.0, 'RUBBERMAID FASTTRACK 7PC RAIL KIT')",SR - Full Pallet,Pick Mod - Bin
80,"(184804.0, 'KIDDE BATTERY CO ALARM')",Pick Mod - Carton Flow,Pick Mod - Bin
81,"(1004301020.0, 'RIDGID GEN. DEBRIS FILTER KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
82,"(1001680925.0, 'HEPA MEDIA FILTER FOR 3 TO 4.5 GAL.')",Pick Mod - Bin,Pick Mod - Carton Flow
83,"(1003007627.0, '28 IN. W HARDWOOD WORKTOP FOR READY')",Pick Mod - Carton Flow,SR - Full Pallet
84,"(1002976001.0, 'FEIT 7.2W(65W) BR30 DL DIM LED 3PK')",Pick Mod - Bin,Pick Mod - Carton Flow
85,"(1002650724.0, '23X72 PVC MB CORDLESS-WHITE')",Pick Mod - Carton Flow,Pick Mod - Bin
86,"(963186.0, 'WB T-SQUARE 48""')",Oblong,Doors and Panels - Single Deep
87,"(1002184413.0, 'DRYWALL SANDER 120-GRIT HOOK AND LOO')",Pick Mod - Carton Flow,Pick Mod - Bin
88,"(1003102767.0, 'RYOBI 13A 16"" MOWER')",SR - Full Pallet,Pick Mod - Pallet Flow
89,"(409089.0, 'A&H POWDER OXI 264OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
90,"(1003095272.0, 'MOEN MAGNETIX HNDHLD SH 6S CH')",Pick Mod - Bin,Pick Mod - Carton Flow
91,"(744716.0, ""250' 12/2 MC LITE CABLE"")",Pick Mod - Carton Flow,SR - Full Pallet
92,"(1001096337.0, '4G ECHO BACKPACK-IP')",SR - Full Pallet,Pick Mod - Carton Flow
93,"(1004092821.0, 'PLC 24W(54W) 46IN T5HO LED DL 1PK')",Pick Mod - Bin,SR - Half Pallet
94,"(1004921131.0, 'RUBICON 8"" 2 HDL BATH FAUCET BLK')",Pick Mod - Carton Flow,Pick Mod - Bin
95,"(1005538576.0, '44"" RISTRELLO FRESH WHITE SURESPEED')",SR - Full Pallet,Pick Mod - Carton Flow
96,"(1001623476.0, 'VP RACING SM ENGINE 32OZ FIX-IT FUEL')",Pick Mod - Bin,Pick Mod - Carton Flow
97,"(1000027081.0, 'KELLOGG ORGANIC TOM & VEG 11.5LB')",Pick Mod - Carton Flow,SR - Half Pallet
98,"(1002749438.0, '16 X 26 MEDICINE CABINET-SILVER')",Pick Mod - Carton Flow,SR - Full Pallet
99,"(834959.0, 'RISER STAKE (BIN 117)')",Pick Mod - Bin,Pick Mod - Carton Flow
100,"(1003904939.0, '21.13 IN. CULTURED MARBLE SIDESPLASH')",Pick Mod - Bin,Pick Mod - Carton Flow
101,"(764676.0, 'WALL ORNGPL LOODOR WATERBSD 20OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
102,"(248350.0, '3/4 X3/4X12 PVC 2689 QRT RND WHITE')",Oblong,Cantilever
103,"(373194.0, 'FLEXBOND MORTAR WHITE 50LB')",Pick Mod - Carton Flow,SR - Half Pallet
104,"(1003143430.0, 'VENTURI MIRROR')",SR - Full Pallet,Pick Mod - Carton Flow
105,"(1001528901.0, 'DW 1/4 2.3AMP SHEET PALM SANDER')",Pick Mod - Bin,Pick Mod - Carton Flow
106,"(1000031848.0, 'ETHANOL SHIELD 2.6 OZ. 2-CYCLE OIL')",Pick Mod - Bin,Pick Mod - Carton Flow
107,"(148695.0, '8""X5\' ROUND METAL PIPE')",Oblong,Doors and Panels - Single Deep
108,"(1005934266.0, 'RDG 18V 1/2 IN DRILL/DRIVER KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
109,"(433094.0, 'ODOBAN DISINFECT EUCALYPTUS 128OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
110,"(1002255409.0, 'LADERA 8"" 2HDL BATH FAUCET BZ')",Pick Mod - Bin,Pick Mod - Carton Flow
111,"(1005585306.0, 'M12 12-VOLT LITHIUM-ION CORDLESS COM')",Pick Mod - Bin,Pick Mod - Carton Flow
112,"(506058.0, 'VESUVIA 32""X60""X58"" ADH TUB WALL 5PC')",Bulk Floor,Doors and Panels - Single Deep
113,"(1000491079.0, 'PUREFLO ROUGH-IN CABLE BATH DRAIN IN')",Pick Mod - Bin,Pick Mod - Carton Flow
114,"(1003144320.0, 'LADERA 1-HANDLE 3-SPRAY TUB AND SHOW')",Pick Mod - Bin,Pick Mod - Carton Flow
115,"(1003371523.0, 'COM-PAK 1500W-120V W/ STAT')",Pick Mod - Bin,Pick Mod - Carton Flow
116,"(1002666905.0, 'WISTERIA 80"" BLACK STEEL TRELLIS')",Oblong,Doors and Panels - Single Deep
117,"(1001773023.0, 'MKE M18 FUEL 1"" SDS+ D-HANDLE RH')",Pick Mod - Bin,Pick Mod - Carton Flow
118,"(1005663748.0, 'SINGLE BURNER 7.5 IN. BRUSHED STAINL')",SR - Full Pallet,Pick Mod - Bin
119,"(336808.0, 'CLR CALCIUM/LIME/RUST REMOVER 28OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
120,"(114615.0, '3/4HP 115-V EVAPORATIVE COOLER MOTOR')",Pick Mod - Bin,Pick Mod - Carton Flow
121,"(1001026470.0, '40IN X 36FT VIGORO NATURAL WEEDBLOCK')",SR - Full Pallet,SR - Half Pallet
122,"(1000029948.0, 'RB 1/2"" (.70"" OD) EMTTER TUBING 100\'')",Pick Mod - Carton Flow,SR - Full Pallet
123,"(1003982264.0, 'MKE M18 CP3.0 HIGH OUTPUT BATT(2PK)')",Pick Mod - Carton Flow,Pick Mod - Bin
124,"(1002822545.0, '6X36 P&S GRY WOOD VNL PLANK 36SF/C')",Pick Mod - Bin,Pick Mod - Carton Flow
125,"(1000993986.0, 'SCOTTS LIQUID TURF BUILDER RTS 32OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
126,"(151174.0, 'PLC 30W 3FT T12 BRIGHT WHITE 1PK')",Pick Mod - Bin,Pick Mod - Carton Flow
127,"(1002856741.0, 'M12 FUEL 4.0/2.0AH HAMD/IMPD KIT')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
128,"(1002666898.0, '72 IN BLACK GLORY TRELLIS')",Oblong,Doors and Panels - Single Deep
129,"(1002406145.0, 'DEWALT 20V 5AH BATTERY PACK')",Pick Mod - Carton Flow,Pick Mod - Bin
130,"(1001868893.0, 'ZEP DEGREASER CITRUS 448OZ')",SR - Full Pallet,Pick Mod - Bin
131,"(572825.0, 'THERMOSTAT GUARD')",Pick Mod - Bin,Pick Mod - Carton Flow
132,"(1006248258.0, 'SHOCKWAVE 3/8 IN. DRIVE SAE AND METR')",Pick Mod - Carton Flow,Pick Mod - Bin
133,"(1005964623.0, 'BOUNTY 12DR SAS WHITE')",Pick Mod - Pallet Flow,SR - Full Pallet
134,"(1002628675.0, ""13'' EDGELIT FLUSHMNT TWIN PK BN"")",Pick Mod - Bin,Pick Mod - Carton Flow
135,"(1000035351.0, '18X18 PORTLAND STONE GRAY-CA-17.44SF')",Oblong,Bulk Floor
136,"(1000647870.0, ""GRAB 'N' GO 20 IN. TOOL BOX WITH TRA"")",Pick Mod - Carton Flow,SR - Full Pallet
137,"(1002940441.0, 'HANDYMAN 16 IN. TOOL BELT SET 3-PIEC')",SR - Full Pallet,Pick Mod - Bin
138,"(1002769673.0, 'RED GALVANIZED STEEL TYPE I GASOLINE')",Pick Mod - Carton Flow,SR - Full Pallet
139,"(1003163752.0, '26 LB. FREESTANDING ICE MAKER IN STA')",Pick Mod - Carton Flow,SR - Full Pallet
140,"(1004102966.0, '13 IN. 20-VOLT MAX LITHIUM ION CORDL')",Pick Mod - Carton Flow,SR - Full Pallet
141,"(296601.0, '3/4""X2-1/4"" PLANO STRIP MARSH 20SF')",Oblong,Bulk Floor
142,"(381874.0, 'CONTRACTOR CARPET PAD 5LB - 30SY')",Doors and Panels - Single Deep,Bulk Floor
143,"(1005595950.0, '120V 15-AMP MOMENTARY POWER FOOT PED')",Pick Mod - Bin,Pick Mod - Carton Flow
144,"(1002473624.0, 'DOWNING 1LT CORONA BRONZE SCONCE DNI')",Pick Mod - Carton Flow,SR - Full Pallet
145,"(1004157090.0, 'M18 FUEL 18-VOLT LITHIUM-ION BRUSHLE')",Pick Mod - Bin,Pick Mod - Carton Flow
146,"(495804.0, 'QEP AQUABAR UNDERLAYMENT 500SF')",Cantilever,Oblong
147,"(507943.0, '12"" NEWBURY SELF-WATER PLANTER, BLAC')",Pick Mod - Carton Flow,SR - Full Pallet
148,"(1001481035.0, 'RIDGID 22"" PRO BOX')",Pick Mod - Carton Flow,Pick Mod - Bin
149,"(1002318753.0, 'MIR-GRO ALL-PURPOSE PLNTFOOD 10LB')",Pick Mod - Carton Flow,Pick Mod - Bin
150,"(739908.0, ""20' FG EXTENSION LADDER TI 250LB"")",Ladders,Cantilever
151,"(1005554635.0, 'OFFSHELF HB BLK SOLAR SPOTLIGHT')",Pick Mod - Bin,Pick Mod - Carton Flow
152,"(115081.0, 'ZEP CRYSTAL HEAT DRAIN OPENER 32OZ')",Pick Mod - Carton Flow,Pick Mod - Bin
153,"(1001492033.0, 'GLADIATOR 4FT GEAR WALL PANEL 2/PK')",Bulk Floor,Oblong
154,"(1001605327.0, 'SCOTTS POWER HANDHELD SPREADER')",Pick Mod - Bin,Pick Mod - Carton Flow
155,"(1005844781.0, 'PACKOUT CUSTOMIZABLE WORK TOP')",Pick Mod - Carton Flow,Pick Mod - Bin
156,"(1005222690.0, 'DW 8 IN. 205 MM BENCH GRINDER')",SR - Full Pallet,Pick Mod - Carton Flow
157,"(1004444792.0, 'RYB 2PC DRILL&IMPACT KIT W/BATTERIES')",Pick Mod - Bin,Pick Mod - Carton Flow
158,"(1004418014.0, 'WASHLET C100 ELECTRIC BIDET SEAT FOR')",SR - Full Pallet,Pick Mod - Carton Flow
159,"(453701.0, 'IN-WALL POWER CORS & CABLE KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
160,"(1001552794.0, 'HOOVER PORTAPOWER LITE WGHT CANISTER')",SR - Full Pallet,Pick Mod - Carton Flow
161,"(1002666905.0, 'WISTERIA 80"" BLACK STEEL TRELLIS')",Oblong,Doors and Panels - Single Deep
162,"(1003576987.0, '1-GAL. PORTABLE ELECTRIC AIR COMPRES')",SR - Full Pallet,Pick Mod - Carton Flow
163,"(520345.0, '3# BLACK NURSERY CONTAINER')",Pick Mod - Carton Flow,Pick Mod - Bin
164,"(764424.0, 'PLEDGE WOOD FLOOR CLEANER 128OZ')",Pick Mod - Bin,Pick Mod - Carton Flow
165,"(1000679587.0, '16 IN. X 16 IN. METAL WALL AND CEILI')",Pick Mod - Carton Flow,SR - Full Pallet
166,"(1001004134.0, 'FLEXIBLE BROWN  WOOD EDGING  4""X 30""')",Pick Mod - Carton Flow,Pick Mod - Bin
167,"(208653.0, 'NEW WORK 1G 21CU ADJUSTABLE')",Pick Mod - Bin,Pick Mod - Carton Flow
168,"(1005290002.0, 'LOCKLY MODEL S DEADBOLT - SN')",Pick Mod - Carton Flow,Pick Mod - Bin
169,"(1004998701.0, '32-WATT EQUIVALENT 4 FT. LINEAR T8 I')",SR - Full Pallet,SR - Half Pallet
170,"(1000021479.0, 'KORKY BEEHIVEMAX TOILET PLUNGER')",Pick Mod - Carton Flow,Pick Mod - Bin
171,"(1003456565.0, '6IN LED RECESSED TRIM W/ NIGHT LIGHT')",Pick Mod - Bin,Pick Mod - Carton Flow
172,"(1001698272.0, '180 MPH 220 CFM HANDHELD 7 AMP ELECT')",SR - Full Pallet,Pick Mod - Carton Flow
173,"(174530.0, '1-3/4""X36"" VNL DR SWEEP-BRN')",Pick Mod - Bin,Pick Mod - Carton Flow
174,"(1000802969.0, 'LOPROFILE 80 CFM CEILING/WALL EXHAUS')",Pick Mod - Carton Flow,SR - Full Pallet
175,"(1000651774.0, 'DRIP & MICROSPRINKLER KIT')",SR - Full Pallet,Pick Mod - Carton Flow
176,"(1005133588.0, 'WHITE WASHED GRAVEL .40CUFT 30 LBS')",Cantilever,Bulk Floor
177,"(1002193968.0, ""50' GOODYEAR MAXLITE RUBBER HOSE"")",Pick Mod - Carton Flow,SR - Full Pallet
178,"(1003800869.0, ""EVERBILT 9'X150' NON WOVEN HOUSEWRAP"")",Oblong,Cantilever
179,"(1001240191.0, '6 IN. X 17 FT. EXPANDING BARRIER')",Pick Mod - Carton Flow,Pick Mod - Bin
180,"(1000045052.0, 'DEWALT 4 PK TRIGGER CLAMPS')",Pick Mod - Carton Flow,Pick Mod - Bin
181,"(468673.0, 'UNGER PRO CLEANING BUCKET 6GAL')",Pick Mod - Carton Flow,SR - Full Pallet
182,"(722986.0, '16""X26""FRMLSS BEVL SWING POLY MEDCAB')",Pick Mod - Carton Flow,SR - Full Pallet
183,"(1001471969.0, 'KADEN PULL-DOWN KITCHEN FAUCET SS')",Pick Mod - Bin,Pick Mod - Carton Flow
184,"(1000119633.0, 'CLASSIC SINGLE-HANDLE KITCHEN FAUCET')",Pick Mod - Bin,Pick Mod - Carton Flow
185,"(1000489812.0, 'PROFLEX 48 FT. PAVER EDGING PROJECT')",Bulk Floor,Oblong
186,"(1004498890.0, 'OIL FILLED RADIANT HEATER')",Pick Mod - Pallet Flow,SR - Full Pallet
187,"(896428.0, 'EXT REL AMMONIUM SULFATE 21-0-0 15#')",SR - Full Pallet,Pick Mod - Bin
188,"(106956.0, 'SPECTRACIDE TRIAZICIDE GRANULE 20LB')",Pick Mod - Carton Flow,SR - Full Pallet
189,"(1003008554.0, 'DW FV WORM DRIVE CIRUCLAR SAW')",SR - Full Pallet,Pick Mod - Carton Flow
190,"(1005271408.0, 'COMMIX 48 IN. X 76 IN. SLIDING FRAME')",Bulk Floor,Doors and Panels - Single Deep
191,"(1002159262.0, 'SLIME 128OZ GARDEN TIRE SEALANT')",Pick Mod - Carton Flow,Pick Mod - Bin
192,"(509487.0, 'SIE 125A 8/16 ML FLUSH EQ LC')",Pick Mod - Bin,Pick Mod - Carton Flow
193,"(1006314503.0, 'EVOLUTION SELECT PLUS 3/4 HP CONTINU')",SR - Full Pallet,Pick Mod - Carton Flow
194,"(1004123268.0, 'MKE M18 FUEL QUIK-LOK 10IN P-SAW ATT')",Pick Mod - Pallet Flow,SR - Full Pallet
195,"(1001754930.0, 'MIRAGE-X 56 TO 60 IN. X 72 IN. SEMI-')",Doors and Panels - Single Deep,Bulk Floor
196,"(1000485555.0, 'ARBOR SINGLE-HANDLE PULL-DOWN SPRAYE')",Pick Mod - Bin,Pick Mod - Carton Flow
197,"(704381.0, 'P-TREATED PINE ANCHOR POST KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
198,"(1005457384.0, '4X4 LUXECRAFT WHITE HEX - CA - 3SF')",Pick Mod - Bin,SR - Full Pallet
199,"(1004073425.0, '9-OUTLET HEAVY-DUTY BODY SHOP POWER')",SR - Full Pallet,Pick Mod - Bin
200,"(1005605601.0, 'CHARMIN STRONG 12 MEGA ROLL PLUS')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
201,"(1004656636.0, 'MAKITA 18V BRUSHLESS BLOWER')",Pick Mod - Carton Flow,SR - Full Pallet
202,"(1005448341.0, '36 IN. X 80 IN. LUMINAIRE BLACK RETR')",Oblong,Doors and Panels - Single Deep
203,"(1005131849.0, 'CLX GERMICIDAL BLEACH 121OZ')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
204,"(1006316338.0, 'SOLARSAGA 100-WATT SOLAR PANEL FOR E')",SR - Full Pallet,Pick Mod - Bin
205,"(1004164802.0, 'SILENTMAX LED CONNECT BATTERY BACKUP')",SR - Full Pallet,Pick Mod - Carton Flow
206,"(1003192839.0, '28 IN. GRIDDLE HARD COVER')",Pick Mod - Carton Flow,SR - Full Pallet
207,"(1002063248.0, 'M18 FUEL SURGE 18-VOLT LITHIUM-ION B')",Pick Mod - Bin,Pick Mod - Carton Flow
208,"(1001075072.0, 'FISKARS PWRLVR TELESCOPING HEDGE SHR')",Pick Mod - Bin,Pick Mod - Carton Flow
209,"(1002696680.0, '4X50 VIG PT BND WDBLCK FBRC - HG/GS')",Pick Mod - Bin,SR - Full Pallet
210,"(1002278028.0, 'RYB 18V 1/4 SHEET SANDER - TOOL ONLY')",Pick Mod - Carton Flow,Pick Mod - Bin
211,"(1003060804.0, '25 FTS. 30 AMP 125/250-VOLT FAN-STYL')",Pick Mod - Bin,Pick Mod - Carton Flow
212,"(1001702993.0, '3/4 HP SELECTPLUS DISPOSER')",SR - Full Pallet,Pick Mod - Carton Flow
213,"(1002081929.0, 'ADLER 1HDL TUB/SHOWER FAUCET CH')",Pick Mod - Carton Flow,Pick Mod - Bin
214,"(1002691159.0, '1 GAL. HOUSE AND DECK ALL-PURPOSE PR')",Pick Mod - Carton Flow,Pick Mod - Bin
215,"(1003104377.0, '36""X14""X54"" CHROME WIRE 4-SHELF')",SR - Full Pallet,Pick Mod - Carton Flow
216,"(1001481680.0, '#381 BRT WHITE PRISM 17LB')",Pick Mod - Carton Flow,Pick Mod - Bin
217,"(399638.0, 'SPECTRACIDE 10.8LB RDYUSE WEED STOP')",Pick Mod - Carton Flow,SR - Full Pallet
218,"(1003545381.0, 'SOFTHEAT 71 IN. 1,250-WATT 240-VOLT')",Bulk Floor,Oblong
219,"(1002319857.0, 'ROUNDUP WEED&GRASS KLR PNG 1.33GAL')",Pick Mod - Carton Flow,SR - Full Pallet
220,"(1002582449.0, 'MAKITA 18V BL DRILL DRIVER 3.0AH KT')",Pick Mod - Bin,Pick Mod - Carton Flow
221,"(1004216594.0, 'PURE HOT   COOL, AIR PURIFIER, HEATE')",SR - Full Pallet,Pick Mod - Carton Flow
222,"(1006819035.0, '1/4 IN. X 800 FT. TUBING WITH BUCKET')",SR - Full Pallet,Pick Mod - Bin
223,"(1001519804.0, '8 FT. HARDWOOD TOP ADJUSTABLE HEIGHT')",Doors and Panels - Single Deep,Bulk Floor
224,"(1002225946.0, '52"" OAKHURST LED NB')",SR - Full Pallet,Pick Mod - Carton Flow
225,"(739446.0, ""28' ALUM EXTENSION LADDER TI 250LB"")",Ladders,Cantilever
226,"(1004822869.0, 'TRAEG FOLDFRONT SHELF PRO780/IRON 8')",Pick Mod - Carton Flow,SR - Full Pallet
