,Item,Prediction,Actual
70,"(1003866837.0, 'EXIT EMER COMBO W BATT')",Pick Mod - Carton Flow,Pick Mod - Bin
71,"(296601.0, '3/4""X2-1/4"" PLANO STRIP MARSH 20SF')",Oblong,Bulk Floor
72,"(1002753337.0, '8X8 AMANTUS-CA-5.33SF')",Pick Mod - Bin,SR - Half Pallet
73,"(1001487707.0, 'CUB CADET 42 IN. MULCH KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
74,"(1005457384.0, '4X4 LUXECRAFT WHITE HEX - CA - 3SF')",Pick Mod - Bin,SR - Full Pallet
75,"(1000052298.0, 'RYB 14 AMP CIRC. SAW')",Pick Mod - Carton Flow,Pick Mod - Bin
76,"(1001562710.0, '12X12 P&S CARRARA MARBLE - 30SF CA')",Pick Mod - Carton Flow,Pick Mod - Bin
77,"(1005234273.0, '5 QT. AIR FRYER WITH DUO TOUCHSCREEN')",SR - Full Pallet,Pick Mod - Carton Flow
78,"(1003088930.0, 'SGZ1010UC')",Pick Mod - Bin,Pick Mod - Carton Flow
79,"(1000802969.0, 'LOPROFILE 80 CFM CEILING/WALL EXHAUS')",Pick Mod - Carton Flow,SR - Full Pallet
80,"(1001083704.0, '23IN TWO-TONED MIRROR SLVR FOG FREE')",Pick Mod - Carton Flow,SR - Full Pallet
81,"(545751.0, 'DEWALT 42"" WRECKING BAR')",Bulk Floor,Oblong
82,"(1001188282.0, 'DW 15 DEG SIDING NAILER')",Pick Mod - Carton Flow,Pick Mod - Bin
83,"(1004470524.0, 'STYLE PLUS NRW CLOSET KIT AB-WHT')",Pick Mod - Carton Flow,SR - Full Pallet
84,"(1002696680.0, '4X50 VIG PT BND WDBLCK FBRC - HG/GS')",Pick Mod - Bin,SR - Full Pallet
85,"(1002161865.0, 'ELMBROOK PEDESTAL WH')",Pick Mod - Carton Flow,SR - Full Pallet
86,"(929965.0, 'RIDGID WET APPLICATION FILTER')",Pick Mod - Bin,Pick Mod - Carton Flow
87,"(1000637477.0, 'STAINLESS STEEL MIXING BOWLS WITH LI')",Pick Mod - Carton Flow,Pick Mod - Bin
88,"(753200.0, 'ECHO 16"" GAS CURVED TRIMMER')",Oblong,Doors and Panels - Single Deep
89,"(290892.0, '13"" X 20"" SHALLOW JUMBO VALVE BOX BL')",SR - Full Pallet,Pick Mod - Bin
90,"(1003423127.0, 'WHISPERGREEN SELECT PICK-A-FLOW 50/8')",Pick Mod - Carton Flow,SR - Full Pallet
91,"(495804.0, 'QEP AQUABAR UNDERLAYMENT 500SF')",Bulk Floor,Oblong
92,"(1005579327.0, 'CHARMIN ESSENTIALS SOFT 12 MEGA ROLL')",Oblong,Pick Mod - Carton Flow
93,"(1004830436.0, 'CHARMIN SOFT 12 MEGA ROLL PLUS')",Pick Mod - Bin,SR - Full Pallet
94,"(419825.0, 'WHITE PATIO DR HANDLE MORTISE STYLE')",Pick Mod - Carton Flow,Pick Mod - Bin
95,"(1003287292.0, '1/2 IN. DIA. 28 IN. MID-CENTURY MODE')",Pick Mod - Carton Flow,SR - Full Pallet
96,"(1003931083.0, '18-VOLT LXT LITHIUM-ION BRUSHLESS CO')",Pick Mod - Bin,Pick Mod - Carton Flow
97,"(1005222690.0, 'DW 8 IN. 205 MM BENCH GRINDER')",SR - Full Pallet,Pick Mod - Carton Flow
98,"(320709.0, 'HYDRA WHITE SINK PEDESTAL')",Pick Mod - Carton Flow,SR - Full Pallet
99,"(1003060503.0, 'RYOBI 18V 280CFM TOOL-ONLY BLOWER')",SR - Full Pallet,Pick Mod - Carton Flow
100,"(1004038871.0, 'NUTONE ROUND DCR LED 80 CFM 0.8 SONE')",Pick Mod - Carton Flow,SR - Full Pallet
101,"(1000651644.0, '1/2 IN. X 50 FT. EMITTER TUBING COIL')",Pick Mod - Bin,SR - Full Pallet
102,"(1000217331.0, 'SNAP-IN FILTER BROWN GUTTER GUARD')",Pick Mod - Bin,Pick Mod - Carton Flow
103,"(1002666905.0, 'WISTERIA 80"" BLACK STEEL TRELLIS')",Oblong,Doors and Panels - Single Deep
104,"(1003609678.0, 'HDX 18 GAL DS 30CT COMPACTOR BAGS')",Pick Mod - Carton Flow,Pick Mod - Bin
105,"(1005934266.0, 'RDG 18V 1/2 IN DRILL/DRIVER KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
106,"(1002099122.0, '8 FT. 4-LIGHT WHITE INDUSTRIAL LED W')",Oblong,Cantilever
107,"(580388.0, '3/4""X 3 1/4"" PLANO PLANK MARSH 22SF')",Oblong,Bulk Floor
108,"(969441.0, '4"" X 100\' PRELOADED DRAIN-SLEEVE')",SR - Full Pallet,Pick Mod - Bin
109,"(1002278028.0, 'RYB 18V 1/4 SHEET SANDER - TOOL ONLY')",Pick Mod - Carton Flow,Pick Mod - Bin
110,"(497124.0, 'ECHO 2-STRK 2.6OZ ENGN OIL W/STBILZR')",Pick Mod - Bin,Pick Mod - Carton Flow
111,"(1004061811.0, '4IN LED RECESSED TRIM W/ NIGHT LIGHT')",Pick Mod - Bin,Pick Mod - Carton Flow
112,"(1005065542.0, '52"" CROWN CANYON II LED NOBLE BRONZE')",SR - Full Pallet,Pick Mod - Carton Flow
113,"(1001267989.0, '9000 - 36000 BTU OUTDOOR WALL MOUNTI')",SR - Full Pallet,Pick Mod - Carton Flow
114,"(1002582449.0, 'MAKITA 18V BL DRILL DRIVER 3.0AH KT')",Pick Mod - Bin,Pick Mod - Carton Flow
115,"(768090.0, ""6' FG STEP LADDER TII 225LB"")",Bulk Floor,Doors and Panels - Single Deep
116,"(795303.0, 'SATIN WHITE DISHWASHER END PANEL')",SR - Full Pallet,Pick Mod - Carton Flow
117,"(219909.0, 'SELECTIVES T4 WHITE 25"" CLOSET KIT')",Bulk Floor,Doors and Panels - Single Deep
118,"(1002671625.0, '3X6 BEVEL REST BRIGHT WHITE-CA-10SF')",Pick Mod - Bin,SR - Half Pallet
119,"(1004911309.0, 'BEYOND BRIGHT')",Pick Mod - Bin,Pick Mod - Carton Flow
120,"(1004202776.0, 'HOME NETWERKS 110 CFM BT LED NITE LT')",Pick Mod - Carton Flow,SR - Full Pallet
121,"(493184.0, '150 LB METAL FOLDING HAND TRUCK')",Pick Mod - Carton Flow,SR - Full Pallet
122,"(1002144933.0, 'RYOBI 4 CYCLE CURVED SHAFT TRIMMER')",SR - Full Pallet,Pick Mod - Carton Flow
123,"(1000316430.0, '14-3 NM W/G 250 FT')",Pick Mod - Bin,SR - Full Pallet
124,"(1005131849.0, 'CLX GERMICIDAL BLEACH 121OZ')",Pick Mod - Carton Flow,Pick Mod - Pallet Flow
125,"(1004931347.0, '18-VOLT ONE  LITHIUM-ION PORTABLE PO')",Pick Mod - Bin,Pick Mod - Carton Flow
126,"(1001815599.0, '6X24 ALASKA GRAY LEDGER-CA-6SF')",Pick Mod - Bin,SR - Half Pallet
127,"(1001240191.0, '6 IN. X 17 FT. EXPANDING BARRIER')",Pick Mod - Carton Flow,Pick Mod - Bin
128,"(1000405221.0, 'PAS POWER HEAD STRAIGHT-SHAFT EDGER')",Pick Mod - Carton Flow,SR - Full Pallet
129,"(1001406587.0, '25CC 2-CYCLE FULL CRANK GAS BRUSH CU')",SR - Full Pallet,Pick Mod - Carton Flow
130,"(1001195194.0, 'DW 18GA NARROW CROWN STAPLER')",Pick Mod - Carton Flow,Pick Mod - Bin
131,"(1003800954.0, 'HALO 6IN RL DIRECTMNT LED RETROFIT C')",Pick Mod - Carton Flow,Pick Mod - Bin
132,"(1005411040.0, 'RYB ONE+ MULTI-TOOL (TOOL ONLY)')",Pick Mod - Bin,Pick Mod - Carton Flow
133,"(1006316338.0, 'SOLARSAGA 100-WATT SOLAR PANEL FOR E')",Pick Mod - Carton Flow,Pick Mod - Bin
134,"(202447.0, 'CLX TBC 24OZ 2CT')",Pick Mod - Bin,Pick Mod - Carton Flow
135,"(1005185085.0, 'M18 FUEL 18-VOLT LITHIUM-ION BRUSHLE')",Pick Mod - Carton Flow,SR - Full Pallet
136,"(959537.0, 'HDX 13G DRAWSTRING KITCHEN 55CT')",Pick Mod - Carton Flow,Pick Mod - Bin
137,"(1001360484.0, '24 IN. X 12.7 IN. VENTILATED WIRE SH')",SR - Full Pallet,Pick Mod - Carton Flow
138,"(1002317323.0, 'TURF BLDR 20LB TALLFESCUE SEED')",Pick Mod - Carton Flow,SR - Full Pallet
139,"(1002294548.0, 'RYOBI 18V LI+ TRIMMER/ BLOWER COMBO')",SR - Full Pallet,Pick Mod - Carton Flow
140,"(1001647891.0, '14 FT. TUG-A-LONG WET/DRY VAC HOSE')",SR - Full Pallet,Pick Mod - Carton Flow
141,"(1002543109.0, '24""X14""X30"" CHROME WIRE 3-SHELF UNIT')",SR - Full Pallet,Pick Mod - Carton Flow
142,"(769080.0, ""10' FG STEP LADDER TIA 300LB"")",Doors and Panels - Single Deep,Ladders
143,"(600632.0, '33""X32"" BLK STEEL WALK-THROUGH GATE')",Pick Mod - Carton Flow,SR - Full Pallet
144,"(1001857807.0, 'ADLER 4"" 2HDL BATH FAUCET BN')",Pick Mod - Carton Flow,Pick Mod - Bin
145,"(1003399800.0, '59"" HYDRO BASEBOARD HEAT 1000W-240V')",Bulk Floor,Oblong
146,"(1002648496.0, ""40 LB LAWN THICK'R SUN & SHADE"")",Pick Mod - Carton Flow,SR - Full Pallet
147,"(1002291460.0, 'LYNDHURST 52 IN. LED BRUSHED NICKEL')",Pick Mod - Carton Flow,SR - Full Pallet
148,"(1006136226.0, 'VANILLA SATIN GOLD ROUND MIRROR')",Pick Mod - Bin,SR - Full Pallet
149,"(1002099122.0, '8 FT. 4-LIGHT WHITE INDUSTRIAL LED W')",Oblong,Cantilever
150,"(767925.0, ""4' FG STEP LADDER TI 250LB"")",Bulk Floor,Doors and Panels - Single Deep
151,"(1005334041.0, 'MKE 3 LB. FIBERGLASS DRILLING HAMMER')",Pick Mod - Carton Flow,Pick Mod - Bin
152,"(223697.0, '1-1/4""X36"" L-SHP ALUM/VNL DR BTM-S')",Pick Mod - Bin,Pick Mod - Carton Flow
153,"(1004217383.0, 'DW 20V 5AH BATTERY STARTER KIT')",Pick Mod - Carton Flow,Pick Mod - Bin
154,"(1002835518.0, 'M18 FUEL W/ ONE-KEY 18-VOLT LITHIUM-')",Pick Mod - Carton Flow,Pick Mod - Bin
155,"(1005921297.0, 'BAZAAR ZEN CREAM 5 FT 2 IN X 7 FT 2')",Doors and Panels - Single Deep,Oblong
156,"(647927.0, '2\'4""X50\' 16GA GRN PVC COAT RABT GRDN')",Pick Mod - Carton Flow,SR - Full Pallet
157,"(1005236856.0, 'VACMOP PRO CORDLESS HARD FLOOR VAC A')",Pick Mod - Bin,Pick Mod - Carton Flow
158,"(948066.0, '15/32 4X10 CDX PLYWOOD (S-1)')",Oblong,Cantilever
159,"(1003338484.0, '48 FT. OUTDOOR LED STRING LIGHTS WIT')",Pick Mod - Bin,Pick Mod - Carton Flow
160,"(1004671373.0, 'PLC 8.3W(65W) 6"" DWNLGHT WIFI TUNWHT')",Pick Mod - Bin,Pick Mod - Carton Flow
161,"(1006248258.0, 'SHOCKWAVE 3/8 IN. DRIVE SAE AND METR')",Pick Mod - Carton Flow,Pick Mod - Bin
162,"(646966.0, '4"" X1/8"" BROWN TPR WALLBASE 120\'')",SR - Full Pallet,SR - Half Pallet
163,"(388332.0, 'LARGE AIRSEAL PET DOOR')",Pick Mod - Bin,Pick Mod - Carton Flow
164,"(1003982264.0, 'MKE M18 CP3.0 HIGH OUTPUT BATT(2PK)')",Pick Mod - Carton Flow,Pick Mod - Bin
165,"(1004813976.0, 'HALO 6IN HLBSL DIRMNT LED 3CCTSELCT')",Pick Mod - Carton Flow,Pick Mod - Bin
166,"(1003924244.0, 'MKE M18 FUEL TRIM W/Q-LOK TOOL ONLY')",Pick Mod - Carton Flow,SR - Full Pallet
167,"(1003800869.0, ""EVERBILT 9'X150' NON WOVEN HOUSEWRAP"")",Doors and Panels - Single Deep,Cantilever
168,"(376383.0, '20""X25"" WHT RETURN AIR FILTER GRILLE')",Pick Mod - Carton Flow,SR - Full Pallet
169,"(1006017788.0, 'ROOMBA 694 WI-FI CONNECTED ROBOTIC V')",SR - Full Pallet,Pick Mod - Carton Flow
170,"(1002804058.0, 'KS ZWAVE SMARTCODE 916 VB')",Pick Mod - Carton Flow,Pick Mod - Bin
171,"(578087.0, 'E/O DIATOMACEOUS EARTH 4LB BAG')",Pick Mod - Carton Flow,Pick Mod - Bin
172,"(963186.0, 'WB T-SQUARE 48""')",Oblong,Doors and Panels - Single Deep
173,"(1004584677.0, 'UNFINISHED MAPLE 50 IN.')",Doors and Panels - Single Deep,Bulk Floor
174,"(760809.0, 'TWIST 7\'6""X12\' NATURAL RUG')",Doors and Panels - Single Deep,Ladders
175,"(216847.0, 'VIGORO PERLITE 2CF')",Pick Mod - Carton Flow,Bulk Floor
176,"(1003930963.0, 'MKE 3/8IN DRV SAE/MET RTCHT/SCKT56PC')",Pick Mod - Bin,Pick Mod - Carton Flow
177,"(454082.0, 'LUFKIN CONTRACTOR MEASURING WHEEL')",SR - Full Pallet,Pick Mod - Carton Flow
178,"(1004547931.0, 'RUBBERMAID FASTTRACK 7PC RAIL KIT')",SR - Full Pallet,Pick Mod - Bin
179,"(768090.0, ""6' FG STEP LADDER TII 225LB"")",Bulk Floor,Doors and Panels - Single Deep
180,"(1004318663.0, 'SMARTECH POWER KIT TECH-5000P VEHICL')",Pick Mod - Carton Flow,Pick Mod - Bin
181,"(1003934772.0, 'KINGSFORD HARDWOOD CHARCOAL')",Pick Mod - Carton Flow,SR - Full Pallet
182,"(1005205494.0, 'FLEXVOLT 60-VOLT MAX LITHIUM-ION COR')",Pick Mod - Carton Flow,SR - Full Pallet
183,"(1001546348.0, 'COURANT 8 IN. WIDESPREAD 2-HANDLE BA')",Oblong,Pick Mod - Bin
184,"(1002211268.0, 'VENTURI 8 IN. WIDESPREAD 2-HANDLE BA')",Pick Mod - Bin,Pick Mod - Carton Flow
185,"(219909.0, 'SELECTIVES T4 WHITE 25"" CLOSET KIT')",Bulk Floor,Doors and Panels - Single Deep
186,"(1001700044.0, 'MKE 12 INCH HIGH TENSION HACKSAW')",Pick Mod - Carton Flow,Pick Mod - Bin
187,"(1002194656.0, '5 LB. FORGED STEEL PICK WITH 36 IN.')",SR - Full Pallet,Pick Mod - Carton Flow
188,"(1005934355.0, ""HDC PIPER GREY 7'6X9'6 AREA RUG"")",Oblong,Doors and Panels - Single Deep
189,"(578533.0, 'SQD 200A MB CSED OH/UG SURFCE')",SR - Full Pallet,Pick Mod - Carton Flow
190,"(1002290572.0, '52"" HIGHBURY II LED MB')",SR - Full Pallet,Pick Mod - Carton Flow
191,"(1004883605.0, 'DW FV 60V RECIP SAW KIT')",Pick Mod - Carton Flow,SR - Full Pallet
192,"(1003345914.0, 'M12 FUEL 12-VOLT LITHIUM-ION BRUSHLE')",Pick Mod - Bin,Pick Mod - Carton Flow
193,"(158528.0, '12 IN DEEP PLASTIC ROLLER TRAY - OR')",Pick Mod - Carton Flow,Pick Mod - Bin
194,"(1004242118.0, 'M18 18V 6 TOOL COMBO KIT 2(3AH)')",SR - Full Pallet,Pick Mod - Carton Flow
195,"(107022.0, 'SPECTRACIDE TRIAZICIDE GRANULE 10LB')",Pick Mod - Carton Flow,SR - Full Pallet
196,"(1000055065.0, 'MKE M12 4.0AH 5/8"" ROT HAMMER KIT')",Pick Mod - Carton Flow,Pick Mod - Bin
197,"(390814.0, 'HDX TERRY TOWELS 20PK')",Pick Mod - Carton Flow,Pick Mod - Bin
198,"(154202.0, 'HOMELITE 17"" GAS STRAIGHT TRIMMER')",SR - Full Pallet,Pick Mod - Carton Flow
199,"(1004240509.0, '4X8 LUXECRAFT WHITE - CA - 10.5SF')",Pick Mod - Bin,SR - Half Pallet
200,"(1001834275.0, 'DW 20V BATTERY ADAPTER KIT (2) 2AH')",Pick Mod - Carton Flow,Pick Mod - Bin
201,"(1004243329.0, 'METRIC COMBINATION RATCHETING WRENCH')",Pick Mod - Carton Flow,Pick Mod - Bin
202,"(1003129264.0, 'TRACTOR SERIES D100 AND S240 SUN CAN')",Pick Mod - Carton Flow,SR - Full Pallet
203,"(1000805176.0, 'GREENBUILDER 80 CFM CEILING EXHAUST')",Pick Mod - Bin,Pick Mod - Carton Flow
204,"(1005012375.0, 'MKE M18 1/2""  IMP.WRENCHW/ RING KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
205,"(1003422965.0, 'WHISPERGREEN SELECT PICK-A-FLOW 50/8')",Pick Mod - Carton Flow,SR - Full Pallet
206,"(1001196501.0, 'DRIPLINE WATERING CONVERSION KIT')",Pick Mod - Bin,Pick Mod - Carton Flow
207,"(904331.0, 'INVOLVE SATNKL INSTNT HOT WATER DISP')",Pick Mod - Bin,Pick Mod - Carton Flow
208,"(457918.0, '18"" BLK ADJ-HEIGHT OSCLLTNG PED FAN')",Pick Mod - Carton Flow,SR - Full Pallet
209,"(1001753349.0, '10LB COPPER REFLECTIVE FIRE GLASS')",Pick Mod - Carton Flow,Pick Mod - Bin
210,"(1005135916.0, '21.9 IN. TOUGH SYSTEM TOTE TOOL BOX')",Pick Mod - Carton Flow,Pick Mod - Bin
211,"(1004851178.0, '6IN RA DIRECTMNT LED GIMBAL CCTSELCT')",Oblong,Pick Mod - Carton Flow
212,"(1002501164.0, 'SCOTCH 1.41"" MASKING TAPE 2022 6PK')",Pick Mod - Carton Flow,Pick Mod - Bin
213,"(1004202766.0, 'M18 FUEL 8 IN. EDGER ATTACHMENT FOR')",SR - Full Pallet,Pick Mod - Pallet Flow
214,"(1003993920.0, 'DIRT DEVIL ENDURA REACH UPRIGHT')",Pick Mod - Carton Flow,SR - Full Pallet
215,"(1001519804.0, '8 FT. HARDWOOD TOP ADJUSTABLE HEIGHT')",Doors and Panels - Single Deep,Bulk Floor
216,"(1005399817.0, 'DW 20V FV ADV 4 1/2-5 GRINDER BT')",Pick Mod - Bin,Pick Mod - Carton Flow
217,"(1001240190.0, '6 IN. X 5 FT. EXPANDING BARRIERS (2-')",Pick Mod - Carton Flow,SR - Half Pallet
218,"(1005191358.0, 'RING ALARM 2.0 - 8 PIECE KIT')",Pick Mod - Carton Flow,Pick Mod - Bin
219,"(1005236816.0, '18-VOLT ONE  MULTI-MATERIAL SAW (TOO')",Pick Mod - Carton Flow,Pick Mod - Bin
220,"(1007185007.0, 'BRANTFORD 1-HANDLE POSI-TEMP VALVE T')",Pick Mod - Bin,Pick Mod - Carton Flow
221,"(656844.0, '#165 DEL GRAY SANDED GROUT 25LB')",Pick Mod - Carton Flow,Pick Mod - Bin
222,"(1002812701.0, 'INTEGRITY SERIES 80 CFM BATHROOM CEI')",Pick Mod - Carton Flow,Pick Mod - Bin
223,"(503512.0, 'WAGNER RATCHET SMART ROLLER')",Pick Mod - Bin,Pick Mod - Carton Flow
224,"(1001330812.0, 'TIDE PODS SPRING MDW 81CT')",Pick Mod - Bin,Pick Mod - Carton Flow
